"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17"
"X0";" 1";" 2";" 3";" 4";" 5";" 6";" 7";" 8";" 9";"10";"11";"12";"13";"14";"15";"16";"17"
"X.1";"175.848379254";"184.853971124";"175.14659214";"186.870087862";"185.064912915";"185.423919618";"184.691708207";"185.296137571";"184.318503499";"185.034488618";"184.926989436";"185.602408826";"184.675481915";"185.21094954";"183.227285385";"185.296137571";"185.442174196"
"X.1.1";"175.694229484";"180.600654423";"183.705960989";"185.432032764";"185.133874655";"184.693736494";"185.117648363";"184.776896238";"185.068969488";"185.977641821";"186.054716706";"184.922932863";"184.72416079";"185.152129233";"184.691708207";"185.073026061";"185.101422071"
"X.1.2";"184.233315468";"185.144016087";"184.845857978";"184.736330509";"184.302277207";"185.237317264";"185.166327238";"185.186610103";"185.288024426";"185.687596858";"184.898593426";"185.389438748";"185.101422071";"184.920904577";"180.574286699";"185.815378904";"184.574067593"
"X.1.3";"183.604546666";"186.214951336";"184.387465239";"184.86208427";"185.133874655";"184.876282275";"184.643029332";"185.066941202";"184.845857978";"184.641001046";"185.251515269";"185.466513634";"184.691708207";"184.86208427";"184.265768051";"184.872225702";"185.154157519"
"X.1.4";"186.939049602";"184.957413733";"177.426386118";"185.135902941";"184.744443655";"185.432032764";"185.559814811";"185.109535217";"177.767138243";"184.947272301";"185.154157519";"185.328590155";"185.62877655";"184.98175317";"183.028513312";"184.801235676";"185.08519578"
"X.1.5";"185.223119259";"185.782926321";"183.892563343";"184.05482626";"185.186610103";"184.462511837";"185.170383811";"184.931046009";"184.760669947";"185.229204118";"184.79312253";"185.152129233";"184.728217363";"185.21094954";"184.281994343";"185.056799769";"185.081139207"
"X.1.6";"184.200862885";"184.634916186";"184.249541759";"185.239345551";"185.900566936";"184.612605035";"185.064912915";"185.586182535";"177.223557472";"185.417834759";"185.101422071";"185.093308926";"184.40369153";"184.411804676";"184.86208427";"185.133874655";"185.235288978"
"X.1.7";"185.048686624";"185.125761509";"184.744443655";"184.886423707";"184.963498592";"184.377323806";"184.691708207";"185.85797292";"175.045177817";"185.423919618";"184.728217363";"184.651142478";"185.965472102";"185.08519578";"184.318503499";"185.008120894";"185.150100946"
"X.1.8";"185.01623404";"185.567927957";"184.217089176";"184.835716546";"185.608493686";"184.496992707";"185.900566936";"184.752556801";"185.730190873";"185.042601764";"185.288024426";"184.649114192";"185.166327238";"185.533447087";"185.219062686";"184.896565139";"185.154157519"
"X.1.9";"183.572094083";"184.72416079";"185.186610103";"185.290052712";"185.900566936";"184.641001046";"185.596323967";"184.98175317";"175.450835109";"185.442174196";"185.154157519";"184.675481915";"185.000007749";"185.612550259";"183.807375312";"185.166327238";"185.08519578"
"X.1.10";"184.367182374";"185.168355525";"185.154157519";"184.649114192";"184.675481915";"185.17646867";"184.233315468";"186.478628576";"175.795643806";"185.610521972";"184.691708207";"185.162270665";"185.101422071";"185.551701665";"184.675481915";"185.133874655";"185.032460332"
"X.1.11";"174.197354078";"184.588265598";"184.638972759";"184.659255624";"184.638972759";"185.186610103";"184.622746468";"185.365099311";"175.690172911";"185.383353889";"185.271798134";"185.525333941";"185.3367033";"184.539586723";"184.691708207";"184.880338848";"185.068969488"
"X.1.12";"176.339224577";"186.334620237";"185.137931228";"185.567927957";"185.117648363";"185.525333941";"184.813405395";"184.701849639";"185.612550259";"184.837744832";"184.845857978";"184.922932863";"184.643029332";"184.582180738";"185.097365499";"185.533447087";"185.507079363"
"X.1.13";"184.553784728";"184.752556801";"185.186610103";"184.707934499";"184.638972759";"185.253543556";"185.592267394";"185.799152613";"184.760669947";"184.843829691";"184.691708207";"184.929017723";"184.776896238";"185.348873019";"183.689734697";"184.683595061";"185.064912915"
"X.1.14";"184.217089176";"183.953411937";"185.596323967";"184.496992707";"185.559814811";"184.411804676";"185.661229134";"185.40566504";"184.780952811";"185.008120894";"185.239345551";"185.133874655";"185.154157519";"185.101422071";"185.101422071";"185.285996139";"185.170383811"
"X.1.15";"184.691708207";"184.752556801";"186.358959675";"185.841746628";"184.606520176";"185.833633482";"185.101422071";"185.399580181";"184.707934499";"184.797179103";"183.876337051";"184.787037671";"185.69773829";"185.010149181";"184.200862885";"184.685623348";"185.101422071"
"X.1.16";"185.62877655";"186.044575274";"185.052743196";"185.083167493";"184.691708207";"184.582180738";"185.543588519";"184.655199051";"184.744443655";"185.509107649";"185.645002842";"185.551701665";"184.813405395";"185.077082634";"178.635244846";"185.219062686";"184.707934499"
"X.1.17";"183.466623187";"185.679483712";"185.576041102";"185.091280639";"184.610576749";"184.590293884";"185.101422071";"185.951274097";"185.117648363";"184.565954447";"185.166327238";"185.127789795";"185.543588519";"184.726189077";"184.148127437";"185.381325603";"184.744443655"
"X.1.18";"185.255571842";"184.939159155";"184.318503499";"185.73221916";"184.622746468";"185.127789795";"185.032460332";"184.939159155";"185.677455425";"184.845857978";"185.255571842";"184.701849639";"185.219062686";"184.66736877";"184.728217363";"185.093308926";"185.543588519"
"X.1.19";"184.367182374";"183.987892807";"185.665285707";"184.947272301";"184.728217363";"185.391467035";"184.590293884";"185.549673378";"184.776896238";"184.8276034";"185.271798134";"184.638972759";"185.267741561";"184.878310561";"185.064912915";"185.101422071";"185.612550259"
"X.1.20";"184.675481915";"179.969857335";"184.350956082";"185.397551894";"184.655199051";"185.969528675";"185.645002842";"185.797124326";"184.675481915";"185.152129233";"184.691708207";"185.160242379";"184.829631686";"184.795150816";"184.797179103";"184.709962785";"185.202836394"
"X.1.21";"181.219281793";"180.458674371";"184.626803041";"185.642974555";"185.137931228";"185.192694962";"185.202836394";"185.154157519";"185.527362227";"184.805292249";"185.40566504";"185.525333941";"185.884340644";"185.338731587";"185.08519578";"185.099393785";"184.744443655"
"X.1.22";"183.194832802";"176.243895113";"184.79312253";"184.249541759";"186.08716929";"185.381325603";"185.543588519";"185.11967665";"184.371238947";"185.448259056";"185.304250717";"185.091280639";"185.239345551";"185.389438748";"184.318503499";"185.383353889";"185.081139207"
"X.1.23";"183.774922729";"180.472872376";"183.86011076";"185.227175832";"184.72416079";"184.732273936";"185.117648363";"186.056744993";"184.728217363";"185.192694962";"184.79312253";"184.701849639";"185.563871384";"184.547699869";"185.219062686";"184.768783092";"185.150100946"
